Name;Age;Class;Ticket;Joined;Job;Fate;Sex
KENNELL, Mr Charles;30;Victualling Crew;;Southampton;Hebrew Cook  ;Dead;M
KENT, Mr Edward Austin;58;1st Class Passenger;"11771
£29 14s";Cherbourg;Architect  ;Dead;M
KENYON, Mr Frederick Roland;41;1st Class Passenger;"17464
£51 17s 3d";Southampton; ;Dead;M
KENYON, Mrs Marion Estelle;40;1st Class Passenger;"17464
£51 17s 3d";Southampton; ;Survivor;F
KENZLER, Mr August;44;Engineering Crew;;Belfast;Storekeeper  ;Dead;M
KERLEY, Mr William Thomas;28;Victualling Crew;;Southampton;Assistant Saloon Steward (2nd class)  ;Dead;M
KERNAGHAN, Mr David;30;Engineering Crew;;Belfast;Fireman  ;Survivor;M
KERNEY, Mr William;39;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
KERR, Mr Thomas Russell;26;Engineering Crew;;Southampton;Fireman  ;Dead;M
KETCHLEY, Mr Henry;36;Victualling Crew;;Belfast;Saloon Steward  ;Dead;M
KHALIL, Mr Betros;25;3rd Class Passenger;"2660
£14 9s 1d";Cherbourg;Farm Labourer  ;Dead;M
KHALIL, Mrs Zahie;20;3rd Class Passenger;"2660
£14 9s 1d";Cherbourg;Farm Labourer  ;Dead;F
KIERAN, Mr Edgar Michael;34;Victualling Crew;;Southampton;Storekeeper  ;Dead;M
KIERAN, Mr James William;35;Victualling Crew;;Southampton;Chief 3rd Class Steward ;Dead;M
KIERNAN, Mr John Joseph;25;3rd Class Passenger;"367227
£7 15s";Queenstown;General Labourer  ;Dead;M
KIERNAN, Mr Philip;22;3rd Class Passenger;"367229
£7 15s";Queenstown;General Labourer  ;Dead;M
KILGANNON, Mr Thomas;22;3rd Class Passenger;"36865
£7 14s 9d";Queenstown;Farm Labourer  ;Dead;M
KIMBALL, Mr Edwin Nelson Jr.;42;1st Class Passenger;"11753
£52 11s 1d";Southampton; ;Survivor;M
KIMBALL, Mrs Susan Gertrude;45;1st Class Passenger;"11753
£52 11s 1d";Southampton; ;Survivor;F
KING, Mr Alfred John Moffett;18;Victualling Crew;;Southampton;Lift Steward  ;Dead;M
KING, Mr Ernest Waldron;28;Victualling Crew;;Southampton;Clerk (1st class)  ;Dead;M
KING, Mr G.;20;Victualling Crew;;Southampton;Scullion  ;Dead;M
KING, Mr Thomas Walter;42;Deck Crew;;Southampton;Master-at-arms  ;Dead;M
KINGSCOTE, Mr William Ford;48;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
KINK, Miss Maria;23;3rd Class Passenger;"315152
£8 13s 3d";Southampton; ;Dead;F
KINK, Mr Anton;29;3rd Class Passenger;"315153
£22 6d";Southampton; ;Survivor;M
KINK, Mr Vincenz;26;3rd Class Passenger;"315151
£8 13s 3d";Southampton;Magazineer  ;Dead;M
KINK-HEILMANN, Miss Luise Gretchen;4;3rd Class Passenger;"315153
£22 6d";Southampton; ;Survivor;F
KINK-HEILMANN, Mrs Luise;26;3rd Class Passenger;"315153
£22 6d";Southampton; ;Survivor;F
KINSELLA, Mr Louis;30;Engineering Crew;;Southampton;Fireman  ;Dead;M
KINSTRY, Mr Charles;30;Engineering Crew;;Belfast;Fireman  ;Survivor;M
KIRKALDY, Mr Thomas Benjamin;36;Victualling Crew;;Southampton;Bed Room Steward  ;Dead;M
KIRKHAM, Mr James;43;Engineering Crew;;Southampton;Greaser  ;Dead;M
KIRKLAND, Fr Charles Leonard;52;2nd Class Passenger;"219533
£12 7s";Queenstown;Priest / Minister  ;Dead;M
KITCHING, Mr Arthur Alfred;31;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
KLABER, Mr Herman;41;1st Class Passenger;"113028
£26 11s";Southampton;Businessman  ;Dead;M
KLASÃN, Miss Gertrud Emilia;1;3rd Class Passenger;"350405
£12 3s 8d";Southampton; ;Dead;F
KLASÃN, Mr Klas Albin;18;3rd Class Passenger;"350404
£7 17s 1d";Southampton;Farm Labourer  ;Dead;M
KLASÃN, Mrs Hulda Kristina Eugenia;36;3rd Class Passenger;"350405
£12 3s 8d";Southampton;Housewife  ;Dead;F
KLEIN, Mr Herbert;33;Victualling Crew;;Southampton;Barber  ;Dead;M
KNEESE, Miss;;"2nd Class Passenger
Cross Channel Passenger";"47
£2";Southampton; ;Survivor;F
KNIGHT, Mr George;49;Victualling Crew;;Southampton;Saloon Steward  ;Survivor;M
KNIGHT, Mr Leonard George;21;Victualling Crew;;Southampton;Steward (3rd class)  ;Dead;M
KNIGHT, Mr Robert;41;"2nd Class Passenger
H&W Guarantee Group";239855;Belfast;Fitter  ;Dead;M
KNOWLES, Mr Thomas;43;Engineering Crew;;Southampton;Firemens' Messman  ;Survivor;M
KRAEFF, Mr Theodor;;3rd Class Passenger;"349253
£7 17s 11d";Cherbourg;General Labourer  ;Dead;M
KREKORIAN, Mr Neshan;25;3rd Class Passenger;"2654
£7 4s 7d";Cherbourg;General Labourer  ;Survivor;M
KREUCHEN, Miss Emilie;29;"1st Class Passenger
Servant";"24160
£211 6s 9d";Southampton;Personal Maid  ;Survivor;F
KRINS, Mr Georges Alexandre;23;"2nd Class Passenger
Musician";250654;Southampton;Musician  ;Dead;M
KUTSCHER (LITHMAN), Mr Simon;26;3rd Class Passenger;"251
£7 11s";Southampton;Baker  ;Survivor;M
KVILLNER, Mr Johan Henrik Johannesson;31;2nd Class Passenger;"18723
£10 10s";Southampton;Mechanical Engineer  ;Dead;M
LACEY, Mr Bertie William;20;Victualling Crew;;Southampton;Assistant Saloon steward, 2nd Class  ;Dead;M
LAHHāD ISHAQ MU'AWWAD, MrSarkÄs;35;3rd Class Passenger;"2624
£7 4s 6d";Cherbourg;General Labourer  ;Dead;M
LAHTINEN, Fr William;35;2nd Class Passenger;"250651
£26";Southampton;Priest / Minister  ;Dead;M
LAHTINEN, Mrs Anna Amelia;34;2nd Class Passenger;"250651
£26";Southampton; ;Dead;F
LAHY, Mr T.;41;Engineering Crew;;Southampton;Fireman  ;Dead;M
LAITINEN, Miss Kristina Sofia;37;3rd Class Passenger;"4135
£9 11s 9d";Southampton;Housekeeper  ;Dead;F
LAKE, Mr William;46;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
LAM, Mr Ali;38;3rd Class Passenger;"1601
£56 9s 11d";Southampton;Seaman  ;Survivor;M
LAM, Mr Len;23;3rd Class Passenger;"1601
£56 9s 11d";Southampton;Seaman  ;Dead;M
LAMB, Mr John J.;31;2nd Class Passenger;"240261
£10 14s 2d";Queenstown;Gentleman  ;Dead;M
LANDERGREN, Miss Aurora Adelia;22;3rd Class Passenger;"7077
£7 5s";Southampton; ;Survivor;F
LANE, Mr Albert Edward;34;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
LANE, Mr Patrick;17;3rd Class Passenger;"7935
£7 15s";Queenstown;Farm Labourer  ;Dead;M
LANG, Mr Fang;32;3rd Class Passenger;"1601
£56 9s 11d";Southampton;Seaman  ;Survivor;M
LAROCHE, Miss Louise;1;2nd Class Passenger;"2123
£41 11s 7d";Cherbourg; ;Survivor;F
LAROCHE, Miss Simonne Marie Anne AndrÃe;3;2nd Class Passenger;"2123
£41 11s 7d";Cherbourg; ;Survivor;F
LAROCHE, Mr Joseph Philippe Lemercier;25;2nd Class Passenger;"2123
£41 11s 7d";Cherbourg;Engineer  ;Dead;M
LAROCHE, Mrs Juliette Marie Louise;22;2nd Class Passenger;"2123
£41 11s 7d";Cherbourg; ;Survivor;F
LARSSON, Mr August Viktor;29;3rd Class Passenger;"7545
£9 9s 8d";Southampton;General Labourer  ;Dead;M
LARSSON, Mr Bengt Edvin;29;3rd Class Passenger;"347067
£7 15s 6d";Southampton;General Labourer  ;Dead;M
LARSSON, Mr Edvard;22;3rd Class Passenger;"347065
£7 15s 6d";Southampton;Cook  ;Dead;M
LATIMER, Mr Andrew;55;Victualling Crew;;Belfast;Chief Steward  ;Dead;M
LAVINGTON, Miss Elizabeth;40;Victualling Crew;;Southampton;Stewardess  ;Survivor;M
LAWRENCE, Mr Arthur;36;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
LEADER, Dr Alice May;49;1st Class Passenger;"17465
£25 18s 7d";Southampton;Doctor  ;Survivor;F
LEADER, Mr Archibald;22;Victualling Crew;;Southampton;Confectioner  ;Dead;M
LEATHER, Mrs Elizabeth Mary;50;Victualling Crew;;Southampton;Stewardess  ;Survivor;F
LEE, Mr H.;18;Engineering Crew;;Southampton;Trimmer  ;Dead;M
LEE, Mr Henry Reginald;29;Victualling Crew;;Southampton;Scullion  ;Survivor;M
LEE, Mr Reginald Robinson;41;Deck Crew;;Southampton;Lookout  ;Survivor;M
LEFEBVRE, Master Henry;5;3rd Class Passenger;"4133
£25 9s 4d";Southampton; ;Dead;M
LEFEBVRE, Miss Ida;3;3rd Class Passenger;"4133
£25 9s 4d";Southampton; ;Dead;F
LEFEBVRE, Miss Jeannie;8;3rd Class Passenger;"4133
£25 9s 4d";Southampton; ;Dead;F
LEFEBVRE, Miss Mathilde;12;3rd Class Passenger;"4133
£25 9s 4d";Southampton; ;Dead;F
LEFEBVRE, Mr Paul Georges;35;Victualling Crew;;Southampton;Saloon Steward  ;Dead;M
LEFEBVRE, Mrs Frances Marie;40;3rd Class Passenger;"4133
£25 9s 4d";Southampton; ;Dead;F
LEHMANN, Miss Bertha;17;2nd Class Passenger;"1748
£12";Cherbourg; ;Survivor;F
LEINONEN, Mr Antti Gustaf;32;3rd Class Passenger;"3101292
£7 18s 6d";Southampton; ;Dead;M
LEITCH, Miss Jessie Wills;31;2nd Class Passenger;"248727
£33";Southampton; ;Survivor;F
LEMORE, Mrs Amelia;39;2nd Class Passenger;"34260
£10 10s";Southampton; ;Survivor;F
LENNON, Mr Denis;20;3rd Class Passenger;"370371
£15 10s";Queenstown;General Labourer  ;Dead;M
LENOX-CONYNGHAM, Master Dennis Hugh;10;"1st Class Passenger
Cross Channel Passenger";"84
£3";Southampton; ;Survivor;M
LENOX-CONYNGHAM, Miss Eileen;11;"1st Class Passenger
Cross Channel Passenger";"84
£3";Southampton; ;Survivor;F
LENOX-CONYNGHAM, Miss Harriet Alice Katherine;34;"1st Class Passenger
Cross Channel Passenger";"75
£1 10s";Southampton; ;Survivor;F
LENOX-CONYNGHAM, Mrs Barbara Josephine;44;"1st Class Passenger
Cross Channel Passenger";"84
£3";Southampton; ;Survivor;F
LEONARD, Mr Matthew;25;Victualling Crew;;Belfast;3rd Class Steward  ;Dead;M
LEROY, Miss Berthe;27;"1st Class Passenger
Servant";"17761
£106 8s 6d";Cherbourg;Personal Maid  ;Survivor;F
LESTER, Mr James;41;3rd Class Passenger;"48871
£24 3s";Southampton;Dipper  ;Dead;M
LESUEUR, Mr Gustave J.;35;"1st Class Passenger
Servant";"17755
£512 6s 7d";Cherbourg;Servant  ;Survivor;M
LEVETT, Mr George Alfred;26;Victualling Crew;;Belfast;Assistant Pantryman Steward (1st Class)  ;Dead;M
LEWIS, Mr Arthur Ernest Read;27;Victualling Crew;;Southampton;Steward  ;Survivor;M
LEWIS, Mr James;34;Engineering Crew;;Belfast;Fireman  ;Survivor;M
LEWY, Mr Ervin G.;30;1st Class Passenger;"17612
£27 14s 5d";Cherbourg;Jeweller  ;Dead;M
LEYSON, Mr Robert William Norman;25;2nd Class Passenger;"29566
£10 10s";Southampton;Solicitor  ;Dead;M
LIEVENS, Mr RenÃ AimÃ;24;3rd Class Passenger;"345781
£9 10s";Southampton;Farmer  ;Dead;M
LIGHT, Mr Charles Edward;24;Victualling Crew;;Southampton;Plate Steward (1st class) ;Dead;M
LIGHT, Mr Christopher William;20;Engineering Crew;;Southampton;Fireman  ;Dead;M
LIGHT, Mr W.;47;Engineering Crew;;Southampton;Fireman  ;Dead;M
LIGHTOLLER, Mr Charles Herbert;38;"Deck Crew
Titanic Officers";;Belfast;2nd. Officer  ;Survivor;M
LINDAHL, Miss Agda Thorilda Viktoria;25;3rd Class Passenger;"347071
£7 15s 6d";Southampton; ;Dead;F
LINDBLOM, Miss Augusta Charlotta;45;3rd Class Passenger;"347073
£7 15s";Southampton; ;Dead;F
LINDEBERG-LIND, Mr Erik Gustaf;42;1st Class Passenger;"17475
£26 11s";Southampton;Businessman  ;Dead;M
LINDELL, Mr Edvard Bengtsson;36;3rd Class Passenger;"349910
£15 11s";Southampton;General Labourer  ;Dead;M
LINDELL, Mrs Elin Gerda;30;3rd Class Passenger;"349910
£15 11s";Southampton; ;Dead;F
LINDQVIST, Mr Eino William;20;3rd Class Passenger;"3101285
£7 18s 6d";Southampton; ;Survivor;M
LINDSAY, Mr William Charles;30;Engineering Crew;;Southampton;Fireman  ;Survivor;M
LINDSTRÖM, Mrs Sigrid  (née Posse) ;55;1st Class Passenger;"112377
£27 14s 5d";Cherbourg; ;Survivor;F
LINEHAN, Mr Michael;21;3rd Class Passenger;"330971
£7 17s 7d";Queenstown;Farm Labourer  ;Dead;M
LINES, Miss Mary Conover;16;1st Class Passenger;"17592
£39 8s";Cherbourg; ;Survivor;F
LINES, Mrs Elizabeth Lindsey;50;1st Class Passenger;"17592
£39 8s";Cherbourg; ;Survivor;F
LING, Mr Lee;28;3rd Class Passenger;"1601
£56 9s 11d";Southampton;Seaman  ;Dead;M
LINGANE, Mr John;61;2nd Class Passenger;"235509
£12 7s";Queenstown;Gentleman  ;Dead;M
LINHART, Mr Wenzel;27;3rd Class Passenger;"345775
£9 10s";Southampton;Baker  ;Dead;M
LITTLE, Mr James;49;Engineering Crew;;Belfast;Fireman  ;Survivor;M
LITTLE, Mr James;28;Engineering Crew;;Belfast;Fireman  ;Survivor;M
LITTLEJOHN, Mr Alexander James;40;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Survivor;M
LIVSHIN, Mr David;25;3rd Class Passenger;"374887
£7 5s";Southampton;Jeweller  ;Dead;M
LLOYD, Mr Humphrey;41;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Dead;M
LLOYD, Mr William;29;Engineering Crew;;Southampton;Fireman  ;Dead;M
LOBB, Mr William Arthur;31;3rd Class Passenger;"3336
£16 2s";Southampton;Engineer  ;Dead;M
LOBB, Mrs Cordelia;34;3rd Class Passenger;"3336
£16 2s";Southampton; ;Dead;F
LOCKE, Mr A.;33;Victualling Crew;;Southampton;Scullion  ;Dead;M
LOCKYER, Mr Edward Thomas;19;3rd Class Passenger;"1222
£7 17s 7d";Southampton;Grocers Assistant  ;Dead;M
LONG, Mr Frank;31;Engineering Crew;;Southampton;Trimmer  ;Dead;M
LONG, Mr Milton Clyde;29;1st Class Passenger;"113501
£30";Southampton; ;Dead;M
LONG, Mr William;36;Engineering Crew;;Southampton;Trimmer  ;Dead;M
LONGLEY, Miss Gretchen Fiske;21;1st Class Passenger;"13502
£77 19s 2d";Cherbourg; ;Survivor;F
LONGMUIR, Mr John Dickson;20;Victualling Crew;;Southampton;Assistant Pantry Steward (2nd class)  ;Dead;M
LORING, Mr Joseph Holland;30;1st Class Passenger;"113801
£45 10s";Southampton;Stockbroker  ;Dead;M
LOUCH, Mr Charles;50;2nd Class Passenger;"3085
£26";Southampton;Saddler  ;Dead;M
LOUCH, Mrs Alice Adelaide;43;2nd Class Passenger;"3085
£26";Southampton; ;Survivor;F
LOUGHRAN, Mr Joseph;28;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
LOVELL, Mr John;37;Victualling Crew;;Southampton;Grill Cook  ;Dead;M
LOVELL, Mr John Hall;20;3rd Class Passenger;"21173
£7 5s";Southampton;Farmer  ;Dead;M
LOWE, Mr Harold Godfrey;29;"Deck Crew
Titanic Officers";;Belfast;5th. Officer  ;Survivor;M
LOWERY, Mr David;28;Engineering Crew;;Belfast;Fireman  ;Survivor;M
LUCAS, Mr William Arthur;25;Deck Crew;;Southampton;Able Seaman  ;Survivor;M
LUCAS, Mr William Watson;31;Victualling Crew;;Belfast;Saloon Steward (1st class)  ;Survivor;M
LULIC, Mr Nikola;29;3rd Class Passenger;"315098
£8 13s 3d";Southampton; ;Survivor;M
LUNDAHL, Mr Johan Svensson;50;3rd Class Passenger;"347743
£7 1s 1d";Southampton;General Labourer  ;Dead;M
LUNDIN, Miss Olga Elida;23;3rd Class Passenger;"347469
£7 17s 1d";Southampton; ;Survivor;F
LUNDSTRÃM, Mr Thure Edvin;32;3rd Class Passenger;"350403
£7 11s 7d";Southampton; ;Survivor;M
LURETTE, Miss EugÃnie Elise;59;"1st Class Passenger
Servant";"17569
£146 10s 5d";Cherbourg;Personal Maid  ;Survivor;F
LYDIATT, Mr Charles;45;Victualling Crew;;Southampton;Saloon Steward (1st class)  ;Dead;M
LYMPEROPOULUS, Mr Panagiotis K.;30;3rd Class Passenger;"2683
£6 8s 9d";Cherbourg;General Labourer  ;Dead;M
LYNTAKOFF, Mr Stanko;44;3rd Class Passenger;"349235
£7 17s 11d";Southampton;General Labourer  ;Dead;M
LYONS, Mr William Henry;26;Deck Crew;;Southampton;Able Seaman  ;Dead;M
LYTLE, Mr Thomas;31;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
LÃVY, Mr RenÃ Jacques;37;2nd Class Passenger;"2163
£12 17s 6d";Southampton;Chemist  ;Dead;M
MABEY, Mr John Charles;24;Victualling Crew;;Southampton;3rd Class Steward  ;Dead;M
MACK, Mrs Mary;57;2nd Class Passenger;"S.O./C. 3
£10 10s";Southampton; ;Dead;F
MACKAY, Mr George William;20;3rd Class Passenger;"42795
£7 11s";Southampton;Footman  ;Dead;M
MACKIE, Mr George William;34;Victualling Crew;;Southampton;2nd Class Bedroom Steward  ;Dead;M
MACKIE, Mr William Dickson;32;Engineering Crew;;Belfast;Junior 5th. Engineer  ;Dead;M
MADIGAN, Miss Margaret;21;3rd Class Passenger;"370370
£7 15s";Queenstown; ;Survivor;F
MADILL, Miss Georgette Alexandra;16;1st Class Passenger;"24160
£211 6s 9d";Southampton; ;Survivor;F
MADSEN, Mr Fridtjof Arne;24;3rd Class Passenger;"17369
£7 2s 10d";Southampton; ;Survivor;M
MAGUIRE, Mr John Edward;30;1st Class Passenger;"110469
£26";Southampton; ;Dead;M
MAHON, Miss Bridget Delia;20;3rd Class Passenger;"330924
£7 17s 7d";Queenstown; ;Dead;F
MAIONI, Miss Roberta Elizabeth Mary;20;"1st Class Passenger
Servant";"110152
£86 10s";Southampton;Personal Maid  ;Survivor;F
MAISNER, Mr Simon;34;3rd Class Passenger;"2816
£8 1s";Southampton;Tailor  ;Dead;M
MAJOR, Mr Thomas Edgar;36;Victualling Crew;;Belfast;Bathroom Steward (1st Class)  ;Dead;M
MAJOR, Mr William James;32;Engineering Crew;;Southampton;Fireman  ;Survivor;M
MALACHARD, Mr Jean-NoÃl;25;2nd Class Passenger;"237735
£15 11d";Cherbourg; ;Dead;M
MALLET, Master AndrÃ Clement;1;2nd Class Passenger;"2079
£37 1d";Cherbourg; ;Survivor;M
MALLET, Mr Albert Denis Pierre;45;2nd Class Passenger;"2079
£37 1d";Cherbourg;Merchant  ;Dead;M
MALLET, Mrs Antonine Marie;24;2nd Class Passenger;"2079
£37 1d";Cherbourg; ;Survivor;F
MANGAN, Miss Mary;32;3rd Class Passenger;"364850
£7 15s";Queenstown; ;Dead;F
MANGIAVACCHI, Mr Serafino Emilio;30;2nd Class Passenger;"32861
£15 11s 7d";Cherbourg;Clerk  ;Dead;M
MANN, Mr Joseph;26;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
MANN, Mr Samuel;40;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
MANNION, Miss Margaret;28;3rd Class Passenger;"36866
£7 14s 9d";Queenstown; ;Survivor;F
MANTLE, Mr Roland Frederick;40;Victualling Crew;;Southampton;3rd Class Steward  ;Dead;M
MARCH, Mr John Starr;50;"Victualling Crew
Postal Clerk";;Southampton;Postal Clerk / Postman  ;Dead;M
MARDIROSIAN, Mr Sarkis;25;3rd Class Passenger;"2655
£7 4s 7d";Cherbourg;Farm Labourer  ;Dead;M
MARETT, Mr George John;27;Engineering Crew;;Southampton;Fireman  ;Dead;M
MARINKO, Mr Dmitri;23;3rd Class Passenger;"349238
£7 17s 11d";Southampton; ;Dead;M
MARKOFF, Mr Marin;35;3rd Class Passenger;"349213
£7 17s 11d";Southampton;General Labourer  ;Dead;M
MARKS, Mr James;27;Victualling Crew;;Southampton;Assistant Pantryman Steward (1st Class)  ;Dead;M
MARKUN, Mr Johann;33;3rd Class Passenger;"349257
£7 17s 11d";Cherbourg;General Labourer  ;Dead;M
MARRIOTT, Mr John William;21;Victualling Crew;;Southampton;Assistant Pantryman Steward (1st Class)  ;Dead;M
MARSDEN, Miss Evelyn;28;Victualling Crew;;Southampton;Stewardess  ;Survivor;F
MARSH, Mr Frederick Charles;40;Engineering Crew;;Southampton;Fireman  ;Dead;M
MARTIN, Miss Mabel Elvina;20;Restaurant Staff;;Southampton;Cashier  ;Survivor;F
MARTIN, Mr John;33;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MARTIN, Mrs Annie Martha;39;Victualling Crew;;Southampton;Stewardess  ;Survivor;F
MARVIN, Mr Daniel Warner;18;1st Class Passenger;"113773
£53 2s";Southampton;Of Independent Means  ;Dead;M
MARVIN, Mrs Mary Graham Carmichael;18;1st Class Passenger;"113773
£53 2s";Southampton; ;Survivor;F
MARÉCHAL, Mr Pierre Maréchal;29;1st Class Passenger;"11774
£29 14s";Cherbourg;Aviator  ;Survivor;M
MASKELL, Mr Leopold Adolphus;25;Engineering Crew;;Southampton;Trimmer  ;Dead;M
MASON, Mr Frank Archibald Robert;32;Engineering Crew;;Southampton;Fireman  ;Survivor;M
MASON, Mr J.;39;Engineering Crew;;Southampton;Leading Fireman  ;Dead;M
MASSEY, Mr James;35;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MATHERS, Mr John;26;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
MATHERSON, Mr David;30;Deck Crew;;Southampton;Able Seaman  ;Dead;M
MATHIAS, Mr Montague Vincent;29;Deck Crew;;Southampton;Mess Steward  ;Dead;M
MATINOFF, Mr Nicola;30;3rd Class Passenger;"349255
£7 17s 11d";Cherbourg; ;Dead;M
MATTHEWS, Mr William John;23;2nd Class Passenger;"28228
£13";Southampton;China Clay Worker  ;Dead;M
MATTMANN, Sig. Adolf;20;Restaurant Staff;;Southampton;Ice Man  ;Dead;M
MAUGE, Mr Paul Achille Maurice Germain;25;Restaurant Staff;;Southampton;Kitchen Clerk  ;Survivor;M
MAWHINNEY, Mr John;45;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
MAXWELL, Mr John;30;Deck Crew;;Belfast;Carpenter / Joiner  ;Dead;M
MAXWELL, Mr William;39;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MAY, Mr Arthur William;22;Engineering Crew;;Southampton;Fireman  ;Dead;M
MAY, Mr Arthur William;59;Engineering Crew;;Southampton;Fireman Messman  ;Dead;M
MAY, Mr Richard W.;;"1st Class Passenger
Cross Channel Passenger";"84
£24";Southampton; ;Survivor;M
MAY, Mr Stanley;;"1st Class Passenger
Cross Channel Passenger";"84
£24";Southampton; ;Survivor;M
MAYBERY, Mr Frank Hubert;36;2nd Class Passenger;"239059
£16";Southampton;Property Developer / Real Estate  ;Dead;M
MAYES, Mr William;29;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MAYNARD, Mr Isaac Hiram;31;Victualling Crew;;Belfast;EntrÃe Cook  ;Survivor;M
MAYNÉ, Mlle Berthe Antonine;24;1st Class Passenger;"17482
£49 10s 1d";Cherbourg;Singer  ;Survivor;F
MAYO, Mr William Peter;28;Engineering Crew;;Southampton;Leading Fireman  ;Dead;M
MAYTUM, Mr Alfred;53;Victualling Crew;;Belfast;Chief Butcher  ;Dead;M
MAYZES, Mr Thomas Jubilee;25;Engineering Crew;;Southampton;Fireman  ;Survivor;M
MCALLISTER, Mr Hugh;34;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCALLISTOR, Mr Daniel;29;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCANDREW, Mr Thomas Patrick;38;Engineering Crew;;Southampton;Fireman  ;Dead;M
MCANDREWS, Mr William;23;Engineering Crew;;Southampton;Fireman  ;Dead;M
MCARTHUR, Mr James;29;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCBARTY, Mr Thomas;;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCCAFFRY, Mr Thomas Francis;46;1st Class Passenger;"13050
£75 4s 10d";Southampton;Banker  ;Dead;M
MCCARRON, Mr David;32;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCCARTHY, Miss Catherine;25;3rd Class Passenger;"383123
£7 15s";Queenstown; ;Survivor;F
MCCARTHY, Mr Frederick James;38;Victualling Crew;;Southampton;Bedroom Steward (1st Class)  ;Dead;M
MCCARTHY, Mr Timothy J.;55;1st Class Passenger;"17463
£51 17s 3d";Southampton;Buyer  ;Dead;M
MCCARTHY, Mr William;48;Deck Crew;;Southampton;Able Seaman  ;Survivor;M
MCCARTNEY, Mr John;49;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
MCCASTLAN, Mr W.;38;Engineering Crew;;Southampton;Fireman  ;Dead;M
MCCAWLEY, Mr Thomas W.;36;Victualling Crew;;Belfast;Gymnasium Steward  ;Dead;M
MCCORMACK, Mr Thomas Joseph;19;3rd Class Passenger;"367228
£7 15s";Queenstown;Barman  ;Survivor;M
MCCOY, Miss Agnes;29;3rd Class Passenger;"367226
£23 5s";Queenstown; ;Survivor;F
MCCOY, Miss Alice;26;3rd Class Passenger;"367226
£23 5s";Queenstown; ;Survivor;F
MCCOY, Mr Bernard;24;3rd Class Passenger;"367226
£23 5s";Queenstown;General Labourer  ;Survivor;M
MCCRAE, Mr Arthur Gordon;32;2nd Class Passenger;"237216
£13 10s";Southampton;Engineer  ;Dead;M
MCCRIE, Mr James Matthew;32;2nd Class Passenger;"233478
£13";Southampton;Oil Worker  ;Dead;M
MCDERMOTT, Miss Bridget Delia;31;3rd Class Passenger;"330932
£7 15s 8d";Queenstown; ;Survivor;F
MCDONALD, Mr Daniel;26;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
MCDONALD, Mr George;30;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCELROY, Mr Hugh Walter;37;Victualling Crew;;Southampton;Purser  ;Dead;M
MCENSPIE, Mr James;48;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
MCENTEE, Mr Charles;37;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCERLINE, Mr John;49;Engineering Crew;;Belfast;Greaser  ;Survivor;M
MCEVOY, Mr Michael;20;3rd Class Passenger;"36568
£15 10s";Queenstown;Farm Labourer  ;Dead;M
MCGANN, Mr James;29;Engineering Crew;;Southampton;Trimmer  ;Survivor;M
MCGARVEY, Mr Edward Joseph;34;Engineering Crew;;Southampton;Fireman  ;Dead;M
MCGAW, Mr Erroll Victor;30;Engineering Crew;;Southampton;Fireman  ;Dead;M
MCGAW, Mr Samuel;34;Engineering Crew;;Belfast;Leading Fireman  ;Survivor;M
MCGEE, Mr Patrick;32;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCGEE, Mr Samuel;48;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCGILL, Mr John;36;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCGILL, Mr Thomas;29;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
MCGIVERN, Mr Henry;41;Engineering Crew;;Belfast;Trimmer  ;Survivor;M
MCGIVERN, Mr Thomas;43;Engineering Crew;;Belfast;Fireman  ;Survivor;M
MCGONAGAL, Mr W.;49;Deck Crew;;Belfast;Able Seaman  ;Survivor;M
MCGOUGH, Mr Frank;25;Engineering Crew;;Belfast;Fireman  ;Survivor;M
